pos_prob_mean;retorno_log_merval;retorno_log_dolar;prediccion
0.08220489043213258;-0.040949727666086844;0.06513930217096142;1.0
0.09838911111466586;0.009238894701598;0.026668247082161756;0.0
0.10970932521614367;-0.025069075998189305;-0.026668247082161756;0.0
0.10427984055085796;-0.010400436158645832;0.0;
0.13117404416872477;;;
0.07206769443915359;;;1.0
0.07822135169849251;0.005054365591290022;0.008968669982760247;1.0
0.28086409240495414;0.01852229919044568;0.04367506350266215;1.0
0.06210712085500264;0.0609194272872724;0.037740327982846544;1.0
0.0901497478805729;0.008349584570730428;0.012270092591814219;1.0
0.09517523509243296;0.03572982860148066;-0.016393809775676615;
0.049973786634948565;;;
0.08610940675541598;;;1.0
0.04127180913928896;0.03765631236408851;0.012320484388040676;0.0
0.06362902000546455;-0.011120159726219825;0.016194685919980856;1.0
0.10037112492136657;0.03677275870591501;0.0;1.0
0.022169537997494142;0.026241354347932955;-0.008064559836729934;0.0
0.05897699296474457;-0.02467665866530666;-0.020450610471291597;
0.14472672791453078;;;
0.09714369436304243;;;0.0
0.12272980669513345;-9.572324495721318e-06;0.0041237171838623965;1.0
0.1021889099793043;0.010731863728064894;-0.008264509849893464;0.0
0.1021889099793043;-0.005199210824835987;-0.016736792355524166;1.0
0.04173010835124148;0.032701711868439176;0.0;1.0
0.050919695851278673;0.01049167765516934;-0.017021687569430455;
0.04028538415311939;;;
0.06253884686157107;;;0.0
0.09721473151391062;-0.04284836514837842;-0.012959144642504583;0.0
0.053923291455691635;-0.03662126735744664;-0.013129291441792645;0.0
0.10001020611574253;-0.053012104913651825;0.02178735418490696;0.0
0.14540342862407366;-0.03260257151423218;-0.02178735418490696;1.0
0.1602775538340211;0.011231537526946056;0.0;
0.1602775538340211;;;
0.1276502994199594;;;
0.11201238838712806;;;
0.2884086553751717;;;0.0
0.24027634455511968;-0.020528980537706687;-0.035878287664901976;0.0
0.5968735098838807;-0.010756096883167032;-0.027779564107076382;0.0
0.2584524601697922;-0.026292769234759206;0.018605187831035153;
0.06811352321181048;;;
0.16910754899228259;;;1.0
0.14789103678105256;0.006448285139132537;0.013730192811901354;0.0
0.007429119199514389;-0.01176855546633071;0.00453515516539138;0.0
0.19444110404058804;-0.01924957543664263;0.0;1.0
0.08282304162345827;0.0345269701309725;-0.027524673390090015;1.0
0.06183531573465602;0.027118876461065256;0.0;
0.06868496523820795;;;
0.06961696661353388;;;0.0
0.07144484278531028;-0.023025151088660323;-0.004662013105811269;0.0
0.050701394056280456;-0.04361335962352442;-0.00938974034983886;0.0
0.030964404344558716;-0.034924387280712565;-0.02386748140664352;1.0
0.030964404344558716;0.01577050752850262;-0.01459879942115272;1.0
0.1151174433662423;0.03889707522513319;0.019418085857101808;
0.11518077213655818;;;
0.03523682180093601;;;0.0
0.1598743401818819;-0.006986706172153134;-0.034233171642242155;0.0
0.056524223709082014;-0.053858090616728305;-0.004987541511039417;1.0
0.08404274950070041;0.006984829077962829;-0.020202707317519497;0.0
0.07149861108225125;-0.0048474611704723;-0.005115100666770012;1.0
0.13506070188013836;0.007538801061443223;0.010204170174241689;
0.12900690687820315;;;
0.12605391684243636;;;0.0
0.13757039068654053;-0.04547253643575466;0.010101095986503772;1.0
0.13749791904212377;0.06962246428897423;0.014962872676711925;1.0
0.13949967648262496;0.022983874221901957;;0.0
0.15882761421380565;-0.011116935860320254;0.004938281640582964;1.0
0.009627263061702251;0.028349167942584685;0.0;
0.010198540054261684;;;
0.04876704926912983;;;1.0
0.10073669919594457;0.050316320213928734;-0.004938281640582964;1.0
0.06552935550765444;0.005146248792661012;0.009852296443011888;1.0
0.05883317068219185;0.04773025156390176;0.0;1.0
0.10373446398462431;0.03345189749166266;;1.0
0.06144776630817967;0.001557341875633611;;
0.08578690886497498;;;
